words,links,capital_words,spam_word_count,is_spam
705,2,5,10,1
707,3,23,8,1
582,8,24,5,1
30,0,0,2,0
135,3,17,9,1
202,1,1,1,0
29,2,3,5,0
159,0,1,2,0
82,7,28,9,1
749,8,26,9,1
198,1,3,0,0
456,5,13,2,1
389,2,18,5,1
158,6,20,10,1
51,0,2,2,0
157,1,2,1,0
178,0,9,6,0
310,9,16,1,1
55,0,6,2,0
633,8,5,10,1
119,0,3,1,0
290,0,1,0,0
182,2,9,10,1
267,0,3,6,0
251,3,4,2,0
124,2,0,2,0
646,4,5,7,1
142,0,0,2,0
156,2,2,1,0
973,5,21,8,1
614,9,19,7,1
452,3,14,4,1
735,10,29,1,1
488,2,0,1,0
523,2,12,4,1
80,0,30,2,1
436,10,10,1,1
399,0,3,2,0
149,1,7,2,0
175,5,6,9,1
30,0,2,4,0
297,1,3,2,0
716,4,9,8,1
153,5,2,6,1
636,7,21,7,1
364,0,1,0,0
727,8,11,8,1
137,2,30,10,1
418,1,1,2,0
339,5,19,9,1
265,4,2,0,0
599,4,15,10,1
647,2,11,1,1
111,0,3,3,0
191,1,1,2,0
873,2,16,7,1
180,1,1,2,0
118,9,10,5,1
70,2,5,2,0
911,3,18,8,1
288,5,3,0,0
471,2,9,6,1
484,9,7,10,1
41,0,3,2,0
78,6,17,6,1
195,3,12,9,1
64,3,27,3,1
875,8,9,0,1
618,6,20,10,1
212,0,0,2,0
54,2,0,0,0
53,2,2,2,0
255,1,0,1,0
45,2,1,5,0
162,0,0,0,0
141,0,12,4,1
527,4,20,9,1
341,2,19,8,1
173,2,18,6,1
742,6,23,6,1
202,1,1,2,0
347,0,3,1,0
279,6,10,7,1
819,9,15,4,1
376,0,7,5,1
602,10,30,5,1
935,9,17,10,1
88,4,2,2,0
231,1,3,4,0
274,2,0,2,0
989,10,6,2,1
90,2,21,6,1
127,2,0,4,0
66,3,18,8,1
88,3,2,2,0
905,4,5,8,1
751,6,1,9,1
784,4,19,9,1
192,0,29,4,1
138,2,11,3,1
540,8,0,8,1
731,10,3,0,1
219,0,2,1,0
169,2,3,3,0
74,2,3,4,0
81,0,0,1,0
159,1,1,1,0
83,10,23,10,1
286,4,3,2,0
193,6,5,2,1
288,3,1,1,0
309,0,26,8,1
623,3,15,10,1
414,8,11,10,1
188,0,0,2,0
317,0,5,0,0
183,0,2,0,0
211,1,2,1,0
181,0,2,2,0
59,2,0,0,0
177,0,0,0,0
104,1,10,0,0
464,2,3,1,0
187,2,0,2,0
89,4,2,2,0
869,7,12,0,1
67,1,0,4,0
219,0,0,0,0
200,2,1,2,0
569,7,10,5,1
372,8,6,9,1
255,8,21,9,1
353,2,4,2,0
244,6,6,3,1
897,8,25,2,1
960,9,19,8,1
114,0,2,0,0
266,3,15,6,1
124,2,29,5,1
303,2,12,9,1
250,2,8,1,0
592,7,3,3,1
242,0,1,1,0
297,9,14,3,1
962,10,24,3,1
294,0,2,6,0
141,6,1,0,1
452,5,24,3,1
521,7,25,2,1
622,9,22,7,1
532,7,25,4,1
869,3,26,6,1
174,2,2,3,0
328,1,2,1,0
186,2,1,1,0
296,2,28,9,1
755,9,6,6,1
390,2,3,6,0
236,0,1,3,0
294,2,3,5,0
393,7,20,4,1
333,10,13,6,1
884,9,30,10,1
205,1,0,2,0
134,1,1,3,0
414,4,13,10,1
733,7,9,9,1
281,0,30,4,1
73,1,1,2,0
345,3,3,1,0
198,9,6,10,1
158,3,10,5,1
216,0,2,2,0
277,0,1,1,0
100,7,20,5,1
421,10,9,3,1
186,6,7,7,1
35,0,2,1,0
220,2,1,1,0
230,0,3,2,0
127,6,28,10,1
387,0,2,0,0
605,7,16,7,1
141,1,2,3,1
328,2,23,3,1
211,1,0,5,0
732,10,18,8,1
224,5,3,1,0
138,9,5,9,1
212,2,0,0,0
230,2,3,1,0
266,0,0,0,0
178,1,1,1,0
933,8,0,3,1
256,1,3,1,0
130,1,2,5,0
126,0,0,1,0
96,0,3,1,0
49,2,3,2,0
351,10,7,4,1
639,3,17,3,1
598,9,20,6,1
430,8,16,3,1
753,8,11,8,1
302,9,22,8,1
816,0,28,10,1
254,1,1,0,0
290,1,3,6,0
281,1,4,6,0
176,0,11,1,1
162,0,3,1,0
880,8,24,10,1
96,1,2,6,0
227,1,0,4,0
187,0,8,2,0
185,4,26,2,1
859,8,15,0,1
182,0,1,1,0
87,0,0,1,0
94,1,2,0,0
621,10,28,2,1
202,1,1,2,0
137,3,3,2,0
180,2,0,1,0
250,5,5,2,0
70,9,17,1,1
241,0,0,3,0
770,9,0,7,1
370,1,1,0,0
244,2,1,2,0
228,1,3,2,0
750,7,4,10,1
335,4,21,9,1
978,6,3,3,1
665,6,23,2,1
140,2,20,3,1
205,5,16,7,1
720,5,9,3,1
148,0,1,6,0
652,10,12,6,1
335,0,10,9,1
338,8,7,8,1
111,1,20,6,1
182,2,0,2,0
165,5,23,0,1
501,2,9,8,1
191,6,19,8,1
665,2,23,0,1
259,2,7,7,1
100,0,3,1,0
264,7,3,9,1
214,0,7,1,0
121,2,10,3,1
791,8,19,8,1
130,2,0,2,0
407,10,10,3,1
630,5,5,4,1
597,7,16,3,1
319,1,3,2,0
98,5,14,5,1
53,1,3,2,0
259,3,15,6,1
180,5,10,0,0
35,2,2,5,0
286,1,10,2,0
292,5,2,1,0
234,1,0,5,0
247,10,2,6,1
80,4,19,6,1
427,2,2,1,0
468,9,12,7,1
233,5,0,0,0
236,0,2,0,0
28,1,2,2,0
92,2,5,1,1
177,0,1,1,0
404,5,10,1,1
657,9,29,3,1
842,2,16,4,1
269,2,3,2,0
200,0,6,10,1
927,8,9,9,1
298,3,1,2,0
168,4,13,2,1
150,1,1,0,0
617,2,14,6,1
753,1,5,3,1
199,2,2,0,0
679,3,16,5,1
169,0,8,6,0
653,9,30,9,1
926,0,20,8,1
681,4,18,10,1
314,7,24,2,1
26,2,1,1,0
203,0,7,2,0
262,1,0,0,0
190,3,26,2,1
865,5,7,3,1
388,3,21,9,1
165,1,1,1,0
543,1,4,10,1
673,1,19,3,1
240,4,0,1,1
153,1,1,1,0
393,8,10,3,1
249,0,2,4,0
30,1,2,2,0
159,2,1,2,0
616,4,30,5,1
459,2,0,1,0
197,1,1,4,0
525,3,20,1,1
73,1,3,1,0
948,5,26,1,1
150,5,1,7,1
290,0,1,1,0
188,1,0,2,0
189,2,3,1,0
115,4,10,0,0
82,3,26,9,1
559,10,21,10,1
57,2,0,4,0
941,5,16,4,1
211,1,9,0,0
897,4,8,3,1
429,1,3,4,0
275,0,1,0,0
25,1,2,1,0
129,7,18,2,1
375,3,23,9,1
127,2,26,7,1
69,0,3,1,0
140,3,24,8,1
192,9,13,8,1
105,1,2,1,0
695,8,5,3,1
137,2,16,8,1
232,1,2,2,0
67,0,6,5,0
255,1,2,0,0
438,3,1,3,1
120,0,17,6,1
297,2,0,2,0
29,0,1,2,0
808,6,14,3,1
52,2,0,0,0
418,1,21,6,1
724,5,3,5,1
55,4,10,10,1
53,0,2,4,0
118,1,1,2,0
130,2,9,3,1
777,3,28,3,1
233,0,0,1,0
423,10,5,6,1
92,0,1,2,0
560,9,11,0,1
358,0,21,6,1
207,0,2,0,0
269,4,1,2,0
923,4,20,5,1
253,2,6,2,0
691,3,26,3,1
283,8,30,1,1
64,9,10,6,1
294,2,3,3,0
934,7,11,4,1
170,0,2,1,0
226,4,8,9,1
735,7,28,4,1
909,9,12,7,1
211,1,2,2,0
523,7,18,7,1
368,1,13,4,1
67,8,23,7,1
235,10,5,2,1
171,4,1,6,1
156,2,3,2,0
60,1,3,0,0
664,10,6,7,1
776,3,30,3,1
589,8,20,6,1
164,2,0,8,1
720,5,12,2,1
828,4,17,1,1
99,1,0,2,0
103,2,25,7,1
159,0,0,0,0
212,0,4,0,0
55,2,1,0,0
101,8,29,7,1
281,2,11,6,1
438,2,3,2,0
776,10,9,3,1
586,10,29,2,1
168,1,2,0,0
118,5,30,7,1
284,1,3,2,0
248,2,1,2,0
769,3,2,6,1
162,8,12,8,1
869,2,18,1,1
160,2,2,0,0
286,1,1,0,0
880,5,22,5,1
115,0,3,0,0
20,1,1,2,0
499,2,19,4,1
524,2,11,4,1
811,10,10,8,1
197,0,0,1,0
408,1,0,1,0
183,6,22,6,1
460,5,19,4,1
809,2,28,6,1
141,1,2,1,0
70,2,0,1,0
264,0,0,2,0
473,1,0,2,0
97,2,6,8,1
218,2,2,0,0
171,1,1,1,0
860,5,16,6,1
161,9,17,9,1
249,5,2,2,0
132,5,3,1,0
330,1,3,3,1
270,0,1,1,0
81,2,2,2,0
299,1,8,2,0
666,3,20,4,1
992,2,7,1,1
274,1,1,0,0
243,2,2,2,0
210,0,10,0,0
146,1,3,2,0
779,3,23,8,1
273,2,0,0,0
498,10,17,7,1
229,1,3,2,0
791,3,22,7,1
499,4,0,1,1
966,10,20,10,1
665,3,4,10,1
897,9,23,10,1
738,7,22,8,1
149,2,0,0,0
840,7,24,5,1
730,4,15,0,1
935,9,8,3,1
105,1,3,5,0
208,7,14,10,1
87,0,1,0,0
231,0,1,2,0
379,1,0,0,0
756,3,28,9,1
107,3,29,10,1
208,2,0,0,0
243,1,1,0,0
128,0,0,0,0
123,3,2,2,0
684,0,19,2,1
183,3,4,3,1
226,0,3,0,0
34,1,2,0,0
70,7,1,8,1
196,0,1,0,0
51,1,2,0,0
612,8,28,9,1
45,0,4,1,0
63,2,5,2,0
151,0,4,2,0
217,7,23,7,1
823,4,7,10,1
226,1,2,2,0
277,3,0,1,0
184,2,1,1,0
158,10,26,4,1
136,4,1,2,0
935,4,10,8,1
489,2,1,0,0
96,1,10,1,0
97,1,2,0,0
731,10,0,8,1
244,2,2,4,0
209,0,8,1,0
985,3,10,3,1
376,2,26,7,1
82,10,8,0,1
65,5,2,2,0
242,1,1,3,0
127,2,5,2,0
160,1,1,2,0
385,4,12,3,1
493,3,0,2,0
696,6,28,8,1
909,8,13,7,1
290,2,2,2,0
182,2,0,5,0
937,8,7,8,1
29,0,2,0,0
270,1,3,0,0
66,0,0,1,0
350,6,1,7,1
215,5,2,5,0
790,9,13,1,1
663,8,21,6,1
101,0,1,1,0
778,4,28,6,1
195,1,0,0,0
32,1,2,0,0
396,8,24,2,1
160,0,3,2,0
151,2,9,9,1
395,0,0,3,0
905,5,5,7,1
291,0,3,0,0
198,4,27,10,1
244,9,4,10,1
996,4,19,3,1
125,1,0,2,0
794,2,11,9,1
220,2,1,1,0
270,2,3,0,0
997,2,17,4,1
183,5,23,0,1
261,1,3,0,0
554,0,28,10,1
96,2,0,5,0
93,0,0,4,0
736,5,29,9,1
548,5,2,10,1
440,3,25,0,1
294,1,0,1,0
456,7,24,9,1
178,8,22,10,1
653,6,21,2,1
200,3,2,0,0
438,1,3,5,0
74,3,12,4,1
218,2,5,0,0
90,0,2,2,0
165,1,1,2,0
164,2,26,10,1
226,2,0,1,0
681,7,22,1,1
551,3,29,6,1
577,3,19,5,1
217,1,2,1,0
374,4,18,8,1
222,2,0,5,0
282,4,26,6,1
262,2,3,2,0
148,1,0,2,0
138,5,2,1,0
185,5,3,2,0
172,0,0,3,0
73,9,5,0,1
536,9,5,10,1
114,1,20,3,1
129,3,14,3,1
305,1,5,7,1
133,0,10,2,0
498,7,10,5,1
178,0,9,3,0
124,9,7,6,1
167,0,2,0,0
279,9,14,3,1
930,0,8,7,1
807,7,22,4,1
538,2,16,0,1
177,2,1,1,0
120,2,25,9,1
170,5,21,6,1
26,3,2,5,0
443,0,3,1,0
113,4,0,0,0
311,9,29,3,1
260,8,5,4,1
72,2,0,2,0
246,2,2,2,0
211,1,0,2,0
703,4,6,10,1
102,1,1,1,0
638,2,13,10,1
354,5,6,4,1
140,10,18,9,1
105,1,2,0,0
352,0,1,2,0
401,4,20,7,1
294,7,27,3,1
206,0,2,0,0
110,1,2,5,0
343,10,21,9,1
74,1,1,1,0
210,0,3,0,0
26,0,6,3,0
31,5,1,6,0
224,0,3,2,0
221,0,2,1,0
171,0,3,1,0
411,2,3,2,0
91,1,9,5,0
272,0,3,0,0
101,5,0,8,1
109,2,10,0,1
401,0,3,2,0
260,2,2,0,0
298,2,6,1,0
116,1,3,0,0
277,1,2,4,0
168,3,27,5,1
216,2,3,2,0
168,2,7,2,0
310,0,2,8,1
137,7,18,7,1
231,1,20,5,1
57,7,5,1,1
217,2,30,7,1
170,2,11,10,1
224,1,0,2,0
58,1,3,1,0
45,0,1,2,0
200,2,3,0,0
736,2,25,5,1
658,3,16,10,1
322,4,7,1,1
57,5,16,6,1
121,5,3,0,0
788,3,10,3,1
508,10,25,5,1
95,8,13,3,1
125,1,1,0,0
139,6,3,7,1
70,2,3,0,0
122,1,3,1,0
786,8,9,0,1
237,0,7,2,0
793,3,20,3,1
64,2,0,5,0
130,2,11,3,1
355,5,13,4,1
256,4,3,8,1
231,3,9,9,1
560,1,3,8,1
166,9,29,7,1
440,10,5,7,1
581,0,13,6,1
50,0,3,4,1
179,2,20,0,1
576,0,12,3,1
184,2,4,1,0
104,3,3,8,1
92,1,1,1,0
446,0,4,2,0
115,2,6,0,1
54,2,11,5,1
127,0,2,2,0
148,2,1,1,0
695,2,0,3,1
58,4,3,2,0
216,1,1,2,0
336,4,2,0,0
132,0,10,0,0
868,7,5,7,1
91,5,4,4,1
936,3,29,4,1
40,2,1,1,0
295,2,23,4,1
317,5,8,4,1
97,2,29,10,1
242,2,3,0,0
108,1,4,0,0
416,2,0,4,0
565,7,15,5,1
384,2,1,0,0
794,2,6,9,1
144,0,2,2,0
273,1,0,2,0
214,0,2,3,0
82,5,30,8,1
203,2,24,2,1
508,5,24,8,1
792,6,28,7,1
155,2,1,1,0
995,10,7,9,1
248,3,19,6,1
344,0,3,1,0
229,0,1,2,0
297,4,21,7,1
421,2,3,0,0
176,5,4,4,1
83,3,0,0,0
374,10,30,5,1
714,9,30,7,1
359,2,1,0,0
60,0,9,4,0
116,2,5,0,0
149,3,1,2,0
425,1,2,0,0
487,2,0,0,0
979,2,19,6,1
811,8,27,10,1
194,3,19,3,1
809,2,5,6,1
31,1,0,0,0
239,1,0,2,0
217,2,3,2,0
239,2,0,0,0
350,8,29,6,1
118,2,3,0,0
64,1,2,0,0
146,4,12,7,1
226,2,3,2,0
627,8,8,6,1
442,3,28,10,1
130,2,0,0,0
66,3,26,9,1
25,5,2,1,0
273,2,26,6,1
951,8,8,6,1
168,4,6,0,1
130,0,1,2,0
539,4,4,3,1
157,8,0,10,1
142,0,2,0,0
758,7,28,0,1
90,1,3,2,0
149,2,8,0,0
749,1,4,3,1
156,1,0,2,0
133,0,2,0,0
200,1,5,1,0
983,3,14,5,1
262,5,6,0,1
360,2,1,5,0
207,0,4,0,0
910,1,7,4,1
448,2,10,4,0
202,1,3,0,0
169,0,0,2,0
167,3,4,4,1
159,1,2,1,0
195,4,0,2,0
161,5,8,6,1
189,10,26,4,1
216,10,24,3,1
156,0,0,2,0
239,1,0,3,0
571,10,16,4,1
254,5,3,2,0
296,1,0,1,0
78,2,0,1,0
253,2,3,2,0
458,5,22,9,1
244,2,1,1,0
170,2,9,2,0
180,2,5,8,1
469,4,3,5,1
635,7,23,1,1
463,8,7,8,1
77,7,4,1,1
699,3,5,3,1
221,1,0,0,0
176,2,1,2,0
78,0,1,2,0
65,2,2,2,0
133,0,0,1,0
392,6,28,9,1
237,0,3,2,0
92,1,2,0,0
236,1,0,2,0
820,3,20,6,1
277,1,6,4,1
200,1,1,1,0
226,0,2,2,0
792,2,18,3,1
247,1,3,0,0
291,4,1,10,1
822,9,20,5,1
130,2,3,0,0
114,0,8,1,0
108,4,16,9,1
274,0,3,1,0
141,9,5,1,1
183,3,30,0,1
226,2,2,0,0
726,2,22,4,1
73,4,3,0,0
272,1,3,0,0
111,2,0,3,0
125,2,2,2,0
72,2,19,4,1
34,1,1,1,0
97,2,3,0,0
204,3,1,2,0
78,9,29,9,1
908,3,10,5,1
188,2,24,8,1
184,2,0,0,0
868,7,3,9,1
351,2,23,0,1
197,1,10,0,0
65,7,28,10,1
51,1,1,0,0
510,4,24,9,1
159,2,3,0,0
551,0,21,8,1
64,0,0,2,0
275,9,3,5,1
972,7,13,5,1
60,1,3,0,0
125,6,24,5,1
289,0,0,2,0
602,10,16,6,1
951,3,16,1,1
457,0,2,0,0
151,2,2,4,0
151,9,23,6,1
85,4,16,10,1
738,3,2,8,1
129,10,1,5,1
134,4,29,7,1
92,1,7,0,0
80,1,3,2,0
879,0,12,1,1
445,0,3,2,0
120,5,15,5,1
50,3,26,2,1
847,4,19,7,1
559,4,19,4,1
766,10,11,10,1
126,4,1,7,1
123,1,2,0,0
287,2,4,0,0
737,2,22,1,1
528,7,5,8,1
192,1,1,1,0
260,2,10,2,0
189,2,3,2,0
191,2,0,2,0
390,6,23,3,1
294,0,1,2,0
957,1,10,3,1
242,4,0,1,0
118,9,13,10,1
170,0,3,1,0
103,8,6,10,1
290,0,9,3,0
214,0,3,1,0
785,4,22,6,1
101,1,14,6,1
602,2,7,5,1
477,10,15,8,1
409,5,16,2,1
298,2,2,3,0
277,2,1,2,0
199,7,5,4,1
103,4,0,2,0
678,3,22,3,1
106,1,0,0,0
243,8,30,7,1
71,2,0,2,0
274,1,2,2,0
30,1,3,0,0
197,9,6,3,1
184,1,0,8,1
52,3,0,2,0
788,1,29,5,1
124,2,3,1,0
43,0,1,1,0
316,8,11,8,1
187,5,23,10,1
476,2,1,9,1
254,1,2,2,0
414,3,26,10,1
388,5,17,5,1
349,7,4,1,1
31,0,3,2,0
715,9,28,5,1
246,1,2,4,0
92,1,0,1,0
258,2,0,0,0
151,1,3,6,0
48,0,0,1,0
96,2,3,2,0
139,2,10,0,0
200,5,3,2,0
214,1,2,3,0
86,5,27,8,1
824,2,20,4,1
898,9,8,4,1
137,0,3,1,0
46,0,3,2,0
269,0,3,2,0
638,6,21,1,1
825,3,22,10,1
108,0,0,9,1
767,5,4,6,1
468,0,0,0,0
210,5,2,1,0
812,7,11,6,1
120,7,5,2,1
208,1,2,2,0
987,1,2,1,1
128,2,3,1,0
296,2,1,1,0
280,0,2,6,0
21,1,7,3,0
810,7,8,9,1
830,8,5,10,1
45,0,0,5,0
547,3,2,3,1
781,10,3,0,1
531,0,6,3,1
714,4,20,9,1
123,2,6,1,0
496,1,0,0,0
139,0,3,1,0
243,5,9,4,1
872,10,17,8,1
912,2,3,5,1
118,2,6,8,1
39,4,0,1,0
204,2,3,0,0
188,0,0,1,0
158,9,25,9,1
244,2,0,1,0
289,0,2,3,0
645,6,23,3,1
676,4,9,4,1
882,0,0,9,1
88,4,0,1,0
192,9,5,10,1
161,1,3,1,0
224,1,3,2,0
253,2,1,1,0
127,2,15,7,1
210,0,1,1,0
177,2,13,8,1
94,1,2,0,0
867,1,3,4,1
588,3,11,6,1
275,0,1,3,0
514,2,11,3,1
170,6,25,1,1
57,1,2,4,0
860,9,13,10,1
156,2,2,5,0
352,4,15,4,1
43,2,1,1,0
101,9,16,3,1
78,1,1,2,0
540,6,8,8,1
250,3,7,0,0
73,3,1,0,0
741,2,21,8,1
213,0,0,2,0
171,1,0,1,0
957,3,19,8,1
217,2,3,2,0
341,4,8,2,0
121,0,9,6,0
69,3,29,3,1
230,1,2,2,0
146,5,10,5,0
677,7,28,7,1
826,7,5,0,1
255,2,3,2,0
113,6,18,3,1
425,6,2,5,1
167,5,1,1,0
140,0,3,2,0
37,1,3,2,0
871,3,10,8,1
292,2,2,2,0
420,2,20,5,1
846,3,22,7,1
933,6,14,9,1
146,0,3,0,0
431,9,21,2,1
850,2,7,9,1
121,10,23,7,1
297,5,2,0,0
